row_id,team1_name,team2_name,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value,Explanation 4 Strength,Explanation 4 Feature,Explanation 4 Value,Explanation 5 Strength,Explanation 5 Feature,Explanation 5 Value,Explanation 6 Strength,Explanation 6 Feature,Explanation 6 Value,Explanation 7 Strength,Explanation 7 Feature,Explanation 7 Value,Explanation 8 Strength,Explanation 8 Feature,Explanation 8 Value,Explanation 9 Strength,Explanation 9 Feature,Explanation 9 Value,Explanation 10 Strength,Explanation 10 Feature,Explanation 10 Value
3903,Rutgers,Memphis,0.4303787052631378,0,+++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_margin] (6 weeks avg),'8.818182',--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_margin] (6 weeks avg),'0.8181818000000001',--,team1[three_point_pct] (6 weeks avg),'34.10909',++,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',+,team2[turnovers] (6 weeks avg),'15.333329999999998',-,team2[team_score] (6 weeks avg),'74.16667',+,team1[opponent_AP_rank] (6 weeks avg),'13.85714'
3904,South Dakota State,Memphis,0.395771861076355,0,---,team2[team_margin] (6 weeks avg),'8.818182',+++,team1[team_margin] (6 weeks avg),'14.5',--,team2[opponent_score] (6 weeks median),'64.0',--,team1[three_point_pct] (6 weeks avg),'43.84545',--,team2[team_score] (6 weeks avg),'74.16667',--,team2[blocks] (6 weeks avg),'5.25',++,team1[win] (6 weeks avg),'1.0',--,team2[steals] (6 weeks avg),'9.0',-,team2[team_conf] (6 weeks latest),'AAC',-,team1_location,'N'
3905,San Diego State,Memphis,0.41262388229370117,0,---,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'7.153846000000001',--,team1[three_point_pct] (6 weeks avg),'40.07333',++,team1[team_conf] (6 weeks latest),'MWC',++,team1[opponent_score] (6 weeks min),'44.0',--,team2[team_score] (6 weeks avg),'74.16667',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',--,team2[team_conf] (6 weeks latest),'AAC',--,team2[free_throw_pct] (6 weeks min),'20.0',++,team2[turnovers] (6 weeks avg),'15.333329999999998'
3906,San Francisco,Memphis,0.3892229199409485,0,---,team2[team_margin] (6 weeks avg),'8.818182',+++,team1[team_margin] (6 weeks avg),'9.636364',++,team1[team_conf] (6 weeks latest),'WCC',--,team2[opponent_score] (6 weeks median),'64.0',--,team2[blocks] (6 weeks avg),'5.25',++,team1_location,'N',++,team1[team_score] (6 weeks avg),'78.09091',--,team1[three_point_pct] (6 weeks avg),'35.227270000000004',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',++,team1[win] (6 weeks avg),'0.6363635999999999'
3907,Seton Hall,Memphis,0.37292125821113586,0,--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_conf] (6 weeks latest),'Big East',--,team2[team_conf] (6 weeks latest),'AAC',--,team1[three_point_pct] (6 weeks avg),'36.88333',++,team1[team_margin] (6 weeks avg),'3.75',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',++,team1_location,'N',--,team2[free_throw_pct] (6 weeks avg),'72.11667',--,team2[blocks] (6 weeks avg),'5.25',-,team2[team_score] (6 weeks avg),'74.16667'
3908,Saint Mary's,Memphis,0.5148422122001648,1,--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_AP_rank] (6 weeks avg),'20.85714',++,team1[team_margin] (6 weeks avg),'5.818182',++,team1[team_conf] (6 weeks latest),'WCC',++,team1_location,'N',--,team1[three_point_pct] (6 weeks avg),'36.381820000000005',++,team2[turnovers] (6 weeks avg),'15.333329999999998',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',++,team1[free_throw_pct] (6 weeks avg),'83.36364',--,team2[assists] (6 weeks avg),'16.75'
3909,Saint Peter's,Memphis,0.2610738277435303,0,---,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'8.153846000000001',++,team1[opponent_score] (6 weeks min),'36.0',--,team2[team_conf] (6 weeks latest),'AAC',--,team1[three_point_pct] (6 weeks avg),'36.51538',--,team1[team_conf] (6 weeks latest),'MAAC',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',--,team2[blocks] (6 weeks avg),'5.25',--,team2[team_score] (6 weeks avg),'74.16667',--,team2[opponent_score] (6 weeks median),'64.0'
3910,Texas A&M-CC,Memphis,0.14946463704109192,0,---,team2[team_margin] (6 weeks avg),'8.818182',--,team2[team_conf] (6 weeks latest),'AAC',--,team1[team_conf] (6 weeks latest),'Southland',--,team1[three_point_pct] (6 weeks avg),'32.90833',--,team2[blocks] (6 weeks avg),'5.25',++,team1[free_throw_pct] (6 weeks avg),'74.525',--,team2[opponent_score] (6 weeks median),'64.0',++,team1[team_margin] (6 weeks avg),'1.833333',-,team2[win] (6 weeks avg),'0.8181818000000001',-,team2[free_throw_pct] (6 weeks avg),'72.11667'
3911,TCU,Memphis,0.36922433972358704,0,+++,team1[team_conf] (6 weeks latest),'Big 12',--,team2[team_conf] (6 weeks latest),'AAC',--,team2[team_margin] (6 weeks avg),'8.818182',++,team1_location,'N',++,team2[turnovers] (6 weeks avg),'15.333329999999998',--,team2[free_throw_pct] (6 weeks avg),'72.11667',--,team2[blocks] (6 weeks avg),'5.25',-,team1[three_point_pct] (6 weeks avg),'30.942859999999996',-,team2[team_score] (6 weeks avg),'74.16667',+,team2[defensive_rebounds] (6 weeks avg),'26.58333'
3912,Tennessee,Memphis,0.6844080090522766,1,--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_AP_rank] (6 weeks avg),'15.46154',++,team1[team_margin] (6 weeks avg),'9.615385',++,team1[team_conf] (6 weeks latest),'SEC',--,team2[team_conf] (6 weeks latest),'AAC',--,team1[three_point_pct] (6 weeks avg),'41.776920000000004',++,team1[opponent_id] (6 weeks skewness),'3.0010310000000002',++,team2[turnovers] (6 weeks avg),'15.333329999999998',++,team1_location,'N',++,team1[win] (6 weeks avg),'0.9230769'
3913,Texas,Memphis,0.42029958963394165,0,--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_conf] (6 weeks latest),'Big 12',--,team2[team_margin] (6 weeks avg),'8.818182',--,team2[free_throw_pct] (6 weeks avg),'72.11667',++,team1[team_AP_rank] (6 weeks avg),'20.90909',++,team1_location,'N',++,team2[turnovers] (6 weeks avg),'15.333329999999998',++,team1[opponent_score] (6 weeks min),'41.0',-,team2[opponent_score] (6 weeks median),'64.0',-,team2[team_score] (6 weeks avg),'74.16667'
3914,Texas Tech,Memphis,0.5508150458335876,1,++,team1[team_conf] (6 weeks latest),'Big 12',--,team2[team_margin] (6 weeks avg),'8.818182',--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_margin] (6 weeks avg),'6.307691999999999',++,team1[team_AP_rank] (6 weeks avg),'11.69231',++,team1_location,'N',--,team1[three_point_pct] (6 weeks avg),'30.73077',++,team2[turnovers] (6 weeks avg),'15.333329999999998',--,team2[team_score] (6 weeks avg),'74.16667',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667'
3915,Texas Southern,Memphis,0.1502845734357834,0,---,team2[team_margin] (6 weeks avg),'8.818182',--,team1[team_conf] (6 weeks latest),'SWAC',++,team1[team_margin] (6 weeks avg),'7.4166669999999995',--,team2[team_conf] (6 weeks latest),'AAC',++,team2[three_point_pct] (6 weeks avg),'36.09167',++,team1[free_throw_pct] (6 weeks avg),'72.975',--,team1[defensive_rebounds] (6 weeks avg),'28.33333',--,team2[team_score] (6 weeks avg),'74.16667',--,team1[three_point_pct] (6 weeks avg),'32.45',--,team2[steals] (6 weeks avg),'9.0'
3916,UAB,Memphis,0.3691904544830322,0,---,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'10.41667',++,team1[team_conf] (6 weeks latest),'C-USA',--,team1[three_point_pct] (6 weeks avg),'39.025',++,team1[team_score] (6 weeks avg),'80.91667',--,team1_location,'N',--,team2[opponent_score] (6 weeks median),'64.0',++,team1[win] (6 weeks avg),'0.8333333',--,team2[steals] (6 weeks avg),'9.0',--,team2[team_score] (6 weeks avg),'74.16667'
3917,UCLA,Memphis,0.5158693790435791,1,--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'8.357142999999999',++,team1[team_AP_rank] (6 weeks avg),'11.78571',--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_conf] (6 weeks latest),'Pac 12',--,team1[three_point_pct] (6 weeks avg),'35.06429',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',--,team1[opponent_score] (6 weeks kurtosis),'-0.6176785',++,team1[turnovers] (6 weeks avg),'8.571429',--,team2[opponent_score] (6 weeks median),'64.0'
3918,USC,Memphis,0.36626115441322327,0,+++,team1[team_AP_rank] (6 weeks avg),'18.25',---,team2[team_margin] (6 weeks avg),'8.818182',--,team2[team_conf] (6 weeks latest),'AAC',--,team2[free_throw_pct] (6 weeks avg),'72.11667',--,team2[blocks] (6 weeks avg),'5.25',++,team2[turnovers] (6 weeks avg),'15.333329999999998',--,team1[three_point_pct] (6 weeks avg),'36.53333',++,team1[opponent_AP_rank] (6 weeks avg),'10.2',++,team1[win] (6 weeks avg),'0.6666667',-,team1[turnovers] (6 weeks skewness),'0.8714489'
3919,Vermont,Memphis,0.3436011075973511,0,+++,team1[team_margin] (6 weeks avg),'20.28571',--,team2[team_conf] (6 weeks latest),'AAC',--,team2[team_margin] (6 weeks avg),'8.818182',--,team1[team_conf] (6 weeks latest),'Am. East',++,team1[opponent_score] (6 weeks min),'42.0',--,team2[blocks] (6 weeks avg),'5.25',++,team1[free_throw_pct] (6 weeks avg),'72.92143',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',-,team2[assists] (6 weeks avg),'16.75',-,team1[defensive_rebounds] (6 weeks avg),'28.64286'
3920,Villanova,Memphis,0.5505224466323853,1,++,team1[team_AP_rank] (6 weeks avg),'10.66667',--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_conf] (6 weeks latest),'Big East',--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_margin] (6 weeks avg),'4.5833330000000005',++,team2[turnovers] (6 weeks avg),'15.333329999999998',--,team1[three_point_pct] (6 weeks avg),'35.93333',++,team2[three_point_pct] (6 weeks avg),'36.09167',--,team2[free_throw_pct] (6 weeks avg),'72.11667',++,team1[win] (6 weeks avg),'0.8333333'
3921,Virginia Tech,Memphis,0.5743441581726074,1,+++,team1[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'9.214286',++,team1[opponent_id] (6 weeks skewness),'3.257389',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',--,team1[three_point_pct] (6 weeks avg),'36.72857',-,team2[blocks] (6 weeks avg),'5.25',-,team1[opponent_score] (6 weeks kurtosis),'-0.5241281',+,team1[free_throw_pct] (6 weeks avg),'73.93571',-,team2[team_conf] (6 weeks latest),'AAC'
3922,Wisconsin,Memphis,0.41018837690353394,0,--,team2[team_margin] (6 weeks avg),'8.818182',--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'12.54545',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',++,team2[turnovers] (6 weeks avg),'15.333329999999998',++,team1_location,'N',--,team2[free_throw_pct] (6 weeks avg),'72.11667',++,team1[team_margin] (6 weeks avg),'0.9090908999999999',--,team1[three_point_pct] (6 weeks avg),'28.609090000000002'
3923,Wright State,Memphis,0.37289270758628845,0,+++,team1[team_margin] (6 weeks avg),'8.5',---,team2[team_margin] (6 weeks avg),'8.818182',--,team1[three_point_pct] (6 weeks avg),'37.01667',++,team1_location,'N',--,team2[team_score] (6 weeks avg),'74.16667',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',++,team1[team_conf] (6 weeks latest),'Horizon',--,team2[blocks] (6 weeks avg),'5.25',--,team2[opponent_score] (6 weeks median),'64.0',--,team2[assists] (6 weeks avg),'16.75'
3924,Wyoming,Memphis,0.2868621349334717,0,--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_AP_rank] (6 weeks avg),'22.0',--,team1[three_point_pct] (6 weeks avg),'31.078570000000003',++,team1[team_margin] (6 weeks avg),'0.6923077',--,team2[free_throw_pct] (6 weeks avg),'72.11667',++,team2[turnovers] (6 weeks avg),'15.333329999999998',--,team2[blocks] (6 weeks avg),'5.25',--,team1[steals] (6 weeks avg),'3.785714',--,team2[opponent_AP_rank] (6 weeks avg),'12.66667',--,team2[team_score] (6 weeks avg),'74.16667'
3925,Yale,Memphis,0.2762722969055176,0,---,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_margin] (6 weeks avg),'4.818182',--,team1[three_point_pct] (6 weeks avg),'31.95455',++,team1[free_throw_pct] (6 weeks avg),'74.65455',++,team1[team_conf] (6 weeks latest),'Ivy',++,team1_location,'N',--,team1[defensive_rebounds] (6 weeks avg),'26.909090000000003',++,team2[three_point_pct] (6 weeks avg),'36.09167',--,team2[team_score] (6 weeks avg),'74.16667',++,team1[field_goal_pct] (6 weeks kurtosis),'2.562616'
3926,Michigan,Miami,0.4151615500450134,0,+++,team1[team_conf] (6 weeks latest),'Big 10',---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'1.0',--,team2[team_margin] (6 weeks avg),'2.666667',++,team2[opponent_score] (6 weeks min),'63.0',--,team2[team_score] (6 weeks avg),'73.0',++,team1[opponent_AP_rank] (6 weeks avg),'14.28571',++,team1[free_throw_pct] (6 weeks avg),'82.24615',+,team1[turnovers] (6 weeks avg),'10.38462',-,team1_location,'N'
3927,Michigan State,Miami,0.39326462149620056,0,---,team2[team_conf] (6 weeks latest),'ACC',+++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'16.33333',--,team2[team_margin] (6 weeks avg),'2.666667',--,team1[opponent_score] (6 weeks min),'61.0',--,team2[turnovers] (6 weeks avg),'9.5',++,team1[free_throw_pct] (6 weeks avg),'72.12143',++,team1_location,'N',-,team1[team_margin] (6 weeks avg),'-4.071429',+,team1[free_throw_pct] (6 weeks min),'50.0'
3928,Montana State,Miami,0.4370277225971222,0,+++,team1[team_margin] (6 weeks avg),'9.416667',+++,team1[team_conf] (6 weeks latest),'Big Sky',--,team1_location,'N',++,team1[win] (6 weeks avg),'0.9166667',--,team2[team_conf] (6 weeks latest),'ACC',--,team1[three_point_pct] (6 weeks avg),'35.48462',++,team1[free_throw_pct] (6 weeks avg),'77.94615',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',-,team2[team_score] (6 weeks avg),'73.0'
3929,Murray State,Miami,0.5108669400215149,1,+++,team1[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'21.25',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'2.666667',--,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',++,team1[team_conf] (6 weeks latest),'OVC',++,team1[opponent_score] (6 weeks min),'43.0',++,team1[free_throw_pct] (6 weeks avg),'76.78',--,team2[turnovers] (6 weeks avg),'9.5'
3930,New Mexico State,Miami,0.2899394929409027,0,---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'9.363636',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[turnovers] (6 weeks avg),'9.5',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',++,team1[free_throw_pct] (6 weeks avg),'71.575',--,team1[three_point_pct] (6 weeks avg),'31.975',--,team1_location,'N',-,team2[team_score] (6 weeks avg),'73.0',-,team1[defensive_rebounds] (6 weeks avg),'26.91667'
3931,Norfolk State,Miami,0.24819183349609375,0,+++,team1[team_margin] (6 weeks avg),'10.272730000000001',--,team2[team_conf] (6 weeks latest),'ACC',--,team1[team_conf] (6 weeks latest),'MEAC',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',--,team2[defensive_rebounds] (6 weeks avg),'22.08333',--,team1_location,'N',--,team2[free_throw_pct] (6 weeks avg),'65.625',-,team2[turnovers] (6 weeks avg),'9.5',-,team2[team_score] (6 weeks avg),'73.0'
3932,North Carolina,Miami,0.5719654560089111,1,+++,team1[team_conf] (6 weeks latest),'ACC',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[team_AP_rank] (6 weeks avg),'25.0',--,team2[turnovers] (6 weeks avg),'9.5',++,team1[team_margin] (6 weeks avg),'4.5',--,team1[three_point_pct] (6 weeks avg),'33.04167',++,team1[opponent_score] (6 weeks min),'43.0',--,team2[field_goals_made] (6 weeks avg),'28.91667',++,team1[free_throw_pct] (6 weeks avg),'79.35'
3933,Notre Dame,Miami,0.47915950417518616,0,+++,team1[team_conf] (6 weeks latest),'ACC',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'6.5833330000000005',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[free_throw_pct] (6 weeks avg),'73.11667',--,team1_location,'N',--,team1[team_score] (6 weeks max),'99.0',--,team1[defensive_rebounds] (6 weeks avg),'28.58333',--,team1[opponent_score] (6 weeks kurtosis),'-0.5571904999999999',--,team2[field_goals_made] (6 weeks avg),'28.91667'
3934,Ohio State,Miami,0.5782514214515686,1,---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'19.90909',++,team1[team_margin] (6 weeks avg),'2.416667',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[field_goals_made] (6 weeks avg),'28.91667',++,team1[free_throw_pct] (6 weeks avg),'75.66667',++,team1[opponent_id] (6 weeks skewness),'2.949507',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',-,team2[offensive_rebounds] (6 weeks avg),'7.3333330000000005'
3935,Providence,Miami,0.49564129114151,0,---,team2[team_conf] (6 weeks latest),'ACC',+++,team1[team_conf] (6 weeks latest),'Big East',++,team1[team_AP_rank] (6 weeks avg),'11.0',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[team_margin] (6 weeks avg),'2.5',++,team1[free_throw_pct] (6 weeks avg),'72.41',-,team2[opponent_AP_rank] (6 weeks avg),'7.0',-,team2[free_throw_pct] (6 weeks avg),'65.625',-,team2[turnovers] (6 weeks avg),'9.5',-,team1[three_point_pct] (6 weeks avg),'34.88'
3936,Purdue,Miami,0.5579562187194824,1,--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_AP_rank] (6 weeks avg),'5.692308000000001',++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[field_goals_made] (6 weeks avg),'28.91667',--,team2[defensive_rebounds] (6 weeks avg),'22.08333',++,team1[team_margin] (6 weeks avg),'2.461538',--,team1[opponent_score] (6 weeks kurtosis),'-0.3720031',--,team2[turnovers] (6 weeks avg),'9.5',--,team2[offensive_rebounds] (6 weeks avg),'7.3333330000000005'
3937,Richmond,Miami,0.3547419309616089,0,--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_conf] (6 weeks latest),'A-10',++,team1[team_margin] (6 weeks avg),'3.5',--,team1_location,'N',--,team1[three_point_pct] (6 weeks avg),'34.592859999999995',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[turnovers] (6 weeks avg),'10.0',++,team1[free_throw_pct] (6 weeks avg),'74.46429',--,team2[team_score] (6 weeks avg),'73.0',--,team2[turnovers] (6 weeks avg),'9.5'
3938,Rutgers,Miami,0.4912591576576233,0,+++,team1[team_conf] (6 weeks latest),'Big 10',---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'0.8181818000000001',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[opponent_AP_rank] (6 weeks avg),'13.85714',++,team1[free_throw_pct] (6 weeks avg),'71.54545',++,team2[opponent_score] (6 weeks min),'63.0',-,team2[team_score] (6 weeks avg),'73.0',-,team2[free_throw_pct] (6 weeks avg),'65.625',+,team1[assists] (6 weeks avg),'13.27273'
3939,South Dakota State,Miami,0.4968157112598419,0,+++,team1[team_margin] (6 weeks avg),'14.5',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[turnovers] (6 weeks avg),'8.909091',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[team_score] (6 weeks avg),'84.72726999999999',--,team1_location,'N',++,team1[free_throw_pct] (6 weeks avg),'73.98182',++,team1[win] (6 weeks avg),'1.0',++,team2[opponent_score] (6 weeks min),'63.0'
3940,San Diego State,Miami,0.38079652190208435,0,---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'7.153846000000001',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[team_conf] (6 weeks latest),'MWC',--,team2[turnovers] (6 weeks avg),'9.5',--,team2[defensive_rebounds] (6 weeks avg),'22.08333',--,team1[three_point_pct] (6 weeks avg),'40.07333',--,team1_location,'N',++,team2[opponent_score] (6 weeks min),'63.0',--,team2[opponent_AP_rank] (6 weeks avg),'7.0'
3941,San Francisco,Miami,0.36006009578704834,0,+++,team1[team_conf] (6 weeks latest),'WCC',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'9.636364',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[free_throw_pct] (6 weeks avg),'65.625',--,team2[defensive_rebounds] (6 weeks avg),'22.08333',+,team1[free_throw_pct] (6 weeks avg),'69.90909',-,team2[team_score] (6 weeks avg),'73.0',-,team1[three_point_pct] (6 weeks avg),'35.227270000000004'
3942,Seton Hall,Miami,0.4472190737724304,0,+++,team1[team_conf] (6 weeks latest),'Big East',---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'3.75',--,team1[three_point_pct] (6 weeks avg),'36.88333',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',++,team1[free_throw_pct] (6 weeks avg),'72.95833',--,team2[defensive_rebounds] (6 weeks avg),'22.08333',-,team2[field_goals_made] (6 weeks avg),'28.91667',-,team2[free_throw_pct] (6 weeks avg),'65.625'
3943,Saint Mary's,Miami,0.4887348711490631,0,--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_conf] (6 weeks latest),'WCC',++,team1[team_margin] (6 weeks avg),'5.818182',++,team1[team_AP_rank] (6 weeks avg),'20.85714',--,team2[team_margin] (6 weeks avg),'2.666667',--,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',++,team1[free_throw_pct] (6 weeks avg),'83.36364',-,team1[three_point_pct] (6 weeks avg),'36.381820000000005',-,team2[team_score] (6 weeks avg),'73.0'
3944,Saint Peter's,Miami,0.3459496796131134,0,++,team1[team_margin] (6 weeks avg),'8.153846000000001',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[opponent_score] (6 weeks min),'36.0',--,team2[turnovers] (6 weeks avg),'9.5',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[blocks] (6 weeks avg),'6.461538',++,team1[free_throw_pct] (6 weeks avg),'67.42308',++,team2[opponent_score] (6 weeks min),'63.0',-,team1[turnovers] (6 weeks avg),'13.53846'
3945,Texas A&M-CC,Miami,0.19433969259262085,0,---,team2[team_conf] (6 weeks latest),'ACC',--,team1[three_point_pct] (6 weeks avg),'32.90833',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[free_throw_pct] (6 weeks avg),'74.525',--,team2[free_throw_pct] (6 weeks avg),'65.625',++,team1[team_margin] (6 weeks avg),'1.833333',--,team2[team_score] (6 weeks avg),'73.0',--,team1_location,'N',--,team1[blocks] (6 weeks avg),'1.083333',--,team1[team_conf] (6 weeks latest),'Southland'
3946,TCU,Miami,0.36578133702278137,0,---,team2[team_conf] (6 weeks latest),'ACC',+++,team1[team_conf] (6 weeks latest),'Big 12',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[opponent_AP_rank] (6 weeks avg),'10.625',+,team1[free_throw_pct] (6 weeks avg),'68.84286',+,team1[blocks] (6 weeks avg),'4.214286',-,team2[free_throw_pct] (6 weeks avg),'65.625',+,team2[opponent_score] (6 weeks min),'63.0',-,team2[turnovers] (6 weeks avg),'9.5',-,team2[defensive_rebounds] (6 weeks avg),'22.08333'
3947,Tennessee,Miami,0.6711012125015259,1,++,team1[team_conf] (6 weeks latest),'SEC',++,team1[team_margin] (6 weeks avg),'9.615385',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_AP_rank] (6 weeks avg),'15.46154',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[free_throw_pct] (6 weeks avg),'75.9',--,team1[opponent_score] (6 weeks kurtosis),'0.5001171',--,team2[field_goals_made] (6 weeks avg),'28.91667',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',++,team1[win] (6 weeks avg),'0.9230769'
3948,Texas,Miami,0.46299484372138977,0,+++,team1[team_conf] (6 weeks latest),'Big 12',---,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[team_AP_rank] (6 weeks avg),'20.90909',++,team1[opponent_score] (6 weeks min),'41.0',--,team2[free_throw_pct] (6 weeks avg),'65.625',--,team1[three_point_pct] (6 weeks avg),'30.2',--,team2[team_score] (6 weeks avg),'73.0',+,team1_location,'N',-,team2[opponent_AP_rank] (6 weeks avg),'7.0'
3949,Texas Tech,Miami,0.5953851938247681,1,---,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_conf] (6 weeks latest),'Big 12',++,team1[team_AP_rank] (6 weeks avg),'11.69231',++,team1[team_margin] (6 weeks avg),'6.307691999999999',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[opponent_score] (6 weeks min),'41.0',--,team2[free_throw_pct] (6 weeks avg),'65.625',-,team2[field_goals_made] (6 weeks avg),'28.91667',+,team1[free_throw_pct] (6 weeks avg),'71.82308',+,team2[opponent_score] (6 weeks min),'63.0'
3950,Texas Southern,Miami,0.18080410361289978,0,--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_margin] (6 weeks avg),'7.4166669999999995',--,team1[team_conf] (6 weeks latest),'SWAC',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',--,team1[three_point_pct] (6 weeks avg),'32.45',--,team1_location,'N',++,team1[blocks] (6 weeks avg),'5.9166669999999995',--,team1[defensive_rebounds] (6 weeks avg),'28.33333',--,team2[free_throw_pct] (6 weeks avg),'65.625',--,team2[field_goals_made] (6 weeks avg),'28.91667'
3951,UAB,Miami,0.35113778710365295,0,+++,team1[team_margin] (6 weeks avg),'10.41667',---,team2[team_conf] (6 weeks latest),'ACC',--,team1_location,'N',--,team2[opponent_AP_rank] (6 weeks avg),'7.0',++,team1[free_throw_pct] (6 weeks avg),'75.05',++,team1[team_conf] (6 weeks latest),'C-USA',--,team2[team_margin] (6 weeks avg),'2.666667',--,team2[free_throw_pct] (6 weeks avg),'65.625',++,team1[win] (6 weeks avg),'0.8333333',+,team2[offensive_rebounds] (6 weeks avg),'7.3333330000000005'
